Sample	Unassigned_Ambiguity	Unassigned_MappingQuality	percent_assigned	Unassigned_Nonjunction	Unassigned_Duplicate	Unassigned_Chimera	Unassigned_Unmapped	Assigned	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NoFeatures	Unassigned_FragmentLength	Total
1073_0034_star_genome	282652	0	69.682481892	0	0	0	718219	22766218	3690470	0	5213806	0	32671365
1073_0035_star_genome	0	0	68.0474739805	0	0	0	966193	24544287	3997167	0	6561711	0	36069358
1073_0036_star_genome	0	0	66.2134705934	0	0	0	1098681	22010423	3781369	0	6351136	0	33241609
1073_0037_star_genome	0	0	75.6255837915	0	0	0	491435	25578091	5251899	0	2500583	0	33822008
1073_0038_star_genome	0	0	76.3774007245	0	0	0	530119	27553740	5170013	0	2821904	0	36075776
1073_0039_star_genome	0	0	77.2196928713	0	0	0	442644	23847062	4202617	0	2389776	0	30882099
1073_0040_star_genome	407280	0	71.392343276	0	0	0	907768	24732553	5449585	0	3145959	0	34643145
1073_0041_star_genome	631754	0	69.5689968122	0	0	0	779203	28236023	7941795	0	2998303	0	40587078
1073_0042_star_genome	405228	0	69.2627200271	0	0	0	1009770	23919097	5736047	0	3463727	0	34533869
1073_0043_star_genome	470605	0	75.6108942421	0	0	0	495291	27725442	5229234	0	2748009	0	36668581
1073_0044_star_genome	0	0	76.5109779123	0	0	0	503128	26864468	4860444	0	2883873	0	35111913
1073_0045_star_genome	342451	0	74.4021849008	0	0	0	511926	22246071	4115678	0	2683629	0	29899755
1073_0047_star_genome	417709	0	67.7499541823	0	0	0	1017841	23163605	5755740	0	3834951	0	34189846
1073_0048_star_genome	401218	0	72.3703648748	0	0	0	709165	22601642	4996645	0	2521851	0	31230521
1073_0049_star_genome	472065	0	74.8756238245	0	0	0	547975	27063181	5015455	0	3045505	0	36144181
1073_0050_star_genome	567821	0	74.055434281	0	0	0	497830	27844964	5688455	0	3001093	0	37600163
1073_0051_star_genome	401185	0	74.308630013	0	0	0	536875	24971132	4813532	0	2881895	0	33604619
1073_0052_star_genome	0	0	72.5039058335	0	0	0	830973	24420063	5586786	0	2843209	0	33681031
1073_0054_star_genome	0	0	70.8364805998	0	0	0	1169759	27787141	6318974	0	3951288	0	39227162
1073_0055_star_genome	559505	0	73.7062729758	0	0	0	488672	23232288	4419856	0	2819775	0	31520096
1073_0056_star_genome	581782	0	72.9604945661	0	0	0	592456	24411606	4819894	0	3052925	0	33458663
1073_0057_star_genome	531717	0	73.490467609	0	0	0	494127	23564825	4519453	0	2955023	0	32065145
1073_0058_star_genome	510200	0	70.8144767499	0	0	0	954437	26017112	5982442	0	3275630	0	36739821
1073_0059_star_genome	566258	0	65.4543470701	0	0	0	1417845	22621671	5754605	0	4200612	0	34560991
1073_0060_star_genome	0	0	73.1247765266	0	0	0	902819	26283879	5751280	0	3005898	0	35943876
1073_0061_star_genome	0	0	75.4612120862	0	0	0	604401	27412424	5180078	0	3129606	0	36326509
1073_0062_star_genome	0	0	74.2025232909	0	0	0	655851	26707594	5173298	0	3456095	0	35992838
1073_0063_star_genome	697384	0	71.6586600892	0	0	0	856073	29374113	6822700	0	3241444	0	40991714
1073_0064_star_genome	0	0	74.8926212917	0	0	0	570935	24109709	4392918	0	3118807	0	32192369
1073_0065_star_genome	438459	0	69.7710119696	0	0	0	1066229	23658972	5246390	0	3499408	0	33909458
1073_0066_star_genome	403426	0	72.8744825395	0	0	0	747720	23810123	5111093	0	2600423	0	32672785
1073_0067_star_genome	0	0	74.3559003469	0	0	0	674623	26109371	5080572	0	3249488	0	35114054
1073_0068_star_genome	425520	0	72.4347872651	0	0	0	598833	25863555	5237202	0	3580876	0	35705986
1073_0069_star_genome	0	0	75.2136125144	0	0	0	535901	24289211	4460984	0	3007541	0	32293637
1073_0070_star_genome	418790	0	70.6498369051	0	0	0	903181	23299804	5539463	0	2818037	0	32979275
1073_0071_star_genome	597624	0	69.7141090072	0	0	0	1046190	27855212	6716905	0	3740417	0	39956348
1073_0072_star_genome	490409	0	69.3108493525	0	0	0	1324011	27944672	6416182	0	4142616	0	40317890
